installer,new_installer
DIMON,
Dina,
Diocese of Geita,
DIOCESE OF MOUNT KILIMANJARO,
Distri,
Distric Water Department,
District  Council,
District Community j,
District Counci,
District council,
District water depar,
District water department,
Diwani,
Dmdd,
DMDD/SOLIDER,
DMK,
DMMD,
DO,
DODDEA,
Dokta Mwandulami,
Domnik,
Dr. Matobola,
Dr. Matomola,
Dr.Matobola,
Dr.Matomola,
DSP,
DSPU,
DSV,
DUWAS,
DV,
DW,
DW E,
DW#,
DW$,
DWE,
DWE /TASSAF,
DWE & LWI,
DWE},
DWE/,
DWE/Anglican church,
DWE/TASSAF,
DWE/Ubalozi wa Marekani,
DWE&,
DWEB,
DWR,
DWSP,
DWT,
DWW,
Dydrotec,
E ETO,
EA,
Eastmeru medium School,
ECO LODGE,
Edward,
EF,
EFAM,
Efarm,
EFG,
EGYPT,
Egypt Government,
EGYPT REGWA,
Egypt Technical Co Operation,
EL,
ELCA,
ELCT,
Elias Mahemba,
Elina,
Elius Chacha,
Eliza,
EMANDA,
EMANDA BUILDERS,
EMAYO,
Embasy of Japan in Tanzania,
Emmanuel Kiswagala,
Emmanuel kitaponda,
Engarasero villagers,
Engin,
ENGINEERS WITHOUT BORDER,
ENO,
Enyuati,
Enyueti,
ERETO,
ESAWA,
Ester Ndege,
European Union,
EWE,
Exaud Msambwa,
F,
Fabia,
FAO,
Farm Africa,
FARM-AFRICA,
Fathe,
Faudh Tamimu,
FAUSTINE,
FIDA,
Filber,
FILEX MUGANGA,
FIN WATER,
Fini water,
FINLAND,
Finland Government,
FINN WATER,
FinW,
FinWate,
FinWater,
FLORESTA,
FOLAC,
Foreigne,
FPCT,
FPCT Church,
FPTC,
FRANKFURT,
Free Pentecoste Church of Tanz,
FRESH WATER PLC ENGLAND,
Frida mokeki,
Friedkin conservation fund,
Friend from UN,
FURAHIA TRADING,
FW,
G.D&I.D,
Ga,
GACHUMA CONSTRUCTION,
GACHUMA GINERY,
GAICA,
Gain,
GD&ID,
GDP,
Geita Goldmain,
GEN,
GEOCHAINA,
George,
George mtoto,
George mtoto company,
GEOTAN,
Gerald,
Gerald Mila,
GERMAN,
GERMAN MISSIONSRY,
Germany,
GERMANY MISSIONARY,
Gesine,
GETDSC00,
Getekwe,
GGM,
GIDA contractor,
GLOBAL RESOURCE CO,
GLOBAL RESOURCE CONSTRUCTION,
Go,
Gold star,
Goldmain,
Goldstar,
Goldwill  foundation,
Got,
Gove,
Gover,
GOVERM,
GOVERN,
GOVERNME,
Governmen,
Government,
Government /Community,
Government /SDA,
Government /TCRS,
Government /World Vision,
Government and Community,
Government of Misri,
Government/TCRS,
GRA,
GRA TZ MUSOMA,
Grail Mission Kiseki bar,
Great Lakes,
Greec,
Green,
GREINAKER,
GREINEKER,
Grobal resource  alliance,
Grobal resource alliance,
GRUMENTI,
GRUMET,
GRUMETI,
Grumeti fund,
GRUMETI SINGITA,
GTZ,
GURUMETI SAGITA,
GURUMETI SAGITA CO,
Gwasco,
Gwasco L,
Gwaseco,
gwitembe,
H,
H4CCP,
Ha,
HAAM,
HAIDOMU LUTHERAN CHURCH,
Halimashauli,
Halmashauli,
Halmashauri,
Halmashauri wilaya,
Halmashauri ya manispa  tabora,
Halmashauri ya manispa tabora,
Halmashauri ya mburu,
Halmashauri ya wilaya,
Halmashauri ya wilaya sikonge,
Halmashauri/Quick win project,
HAM,
Hamis Makombo,
Hamisi Fidia,
Handeni Trunk Main,
Handeni Trunk Main(,
Hanja,
Hanja Lt,
Hans,
HAPA,
HAPA SINGIDA,
Happy watoto foundation,
harison,
Hasawa,
HASHI,
Hasnein Murij,
HAYDOM LUTHERAN HOSPITAL,
HDV,
HE,
Healt,
Hearts helping hands.Inc.,
HEESAW,
Hemed Abdalkah,
Hemed Abdallah,
Henure Dema,
Heri mission,
Hery,
HESAW,
HESAWA,
HESAWQ,
HESAWS,
HESAWZ,
Hesewa,
HIAP,
Hilfe Fur Bruder,
Hindu,
HOLAND,
Holili water supply,
HOLLAND,
Hospi,
Hospital,
HOTEL AND LODGE TANZANIA,
HOTELS AND LOGGS TZ LTD,
Howard and humfrey consultant,
Howard and Humfrey Consultants,
HOWARD HUMFREYS,
HPA,
HSW,
Huches,
Humfreys Co,
Hussein Ayubu,
HW/RC,
Hydom Luthelani,
Hydrotec,
I.E.C,
IADO,
ICAP,
Icf,
ICF/TWESA,
ICS,
IDARA,
Idara ya maji,
IDC,
IDEA,
IDYDC,
IFAD,
Ifakara,
Igolola community,
Ikela Wa,
Ilaramataki,
ILCT,
Ilolangulu water supply,
Ilwilo community,
In,
Indi,
India,
Indiv,
Individual,
Individuals,
inkinda,
Insititutiona,
Institution,
Institutional,
Inter,
Internal Drainage Basin,
International Aid Services,
Inves,
Ir,
IRAN GOVERN,
IRC,
IREVEA SISTER,
Is,
ISF,
ISF / TASAFF,
ISF and TACARE,
ISF/Government,
ISF/TACARE,
Islam,
Islamic,
Islamic Agency Tanzania,
Islamic community,
Issa Mohamedi Tumwanga,
ISSAA KANYANGE,
ISSAC MOLLEL,
ITALI,
Italian government,
Italy government,
IUCN,
J LH CO LTD,
J mal Abdallah,
J. Mc,
Ja,
Jacks,
JACKSON MAHAMBO,
Jackson Makore,
Jafary Mbaga,
JAICA,
JAICA CO,
JALCA,
JANDU,
JANDU PLUMBER  CO,
JANDU PLUMBER CO,
Japan,
JAPAN EMBASSY,
Japan Government,
JAWABU,
JBG,
Jeica,
Jerem,
Jeshi la wokovu,
Jeshi la wokovu [cida],
JHL CO LTD,
JI,
JICA,
Jicks,
JIKA,
Jiks,
Jimmy,
JLH CO LTD,
joery magabe,
John gemuta co,
John kiminda co,
john skwese,
Joseph nkunda,
JSICA,
Ju,
Judge Mchome,
JUIN,
JUIN CO,
JUINE CO,
Juma,
Juma Makulilo,
Juma Maro,
Juma Ndege,
Jumaa,
Jumanne,
Jumanne Siabo,
Jumuhia,
Jumuiya,
Justine Marwa,
JWTZ,
K,
K/Primary,
KA,
KADP,
KAEM,
Kaembe,
KAEMP,
KAGERA MINE,
Kagulo,
Kagunguli Secondary,
Kahema,
Kajima,
Kalago enterprises Co.Ltd,
Kalitasi,
Kalitesi,
Kalta,
Kalugendo,
Kalumbwa,
Kaluwike,
Kamama,
Kamata project,
Kambi Migoko,
Kanamama,
Kando,
Kanisa,
Kanisa katoliki,
Kanisa la TAG,
Kanisani,
Kapelo,
Karugendo,
KARUMBA BIULDIN,
KARUMBA BIULDING COMPANY LTD,
KARUMBA BIULDING CONTRACTOR,
KARUMBA BUILDING COMPANY LTD,
KASHERE,
KASHWA,
Kassim,
Kata,
Kauzeni,
KAWINGA,
KAYEMPU LTD,
KC,
KDC,
KDPA,
kegocha,
KEREBUKA,
Ki,
Kibaha Town Council,
KIBO,
Kibo potry,
KIDIJAS,
Kidika,
KIDP,
Kigoma municipal,
Kigwa,
Kijiji,
Kikom,
KILANGANI CO,
KILI WATER,
Kiliflora,
Kilimarondo Parish,
Kiliwater,
Kiliwater r,
KILL WATER,
Killflora /Community,
Killflora/ Community,
Kilol,
Kilolo Star,
Kilomber,
Kilwa company,
Kilwater,
KIM KIM CONSTRUCTION,
KIMKUM,
KINAPA,
Kindoroko water project,
Kinga,
Kirdep,
KISIRIRI ADP,
Kitiangare village community,
Kitukuni water supply,
KIUMA,
Kiwanda cha Ngozi,
Kizenga,
KK,
KKKT,
KKKT _ Konde and DWE,
KKKT Canal,
KKKT CHURCH,
KKKT DME,
KKKT Katiti juu,
KKKT Kilinga,
KKKT Leguruki,
KKKT MAREU,
KKKT Ndrumangeni,
KKKT-Dioces ya Pare,
KKT,
KKT C,
KMCL,
KMT,
Ko,
KOBERG,
KOBERG Contractor,
KOICA,
Kokeni,
Konoike,
KOREA,
KORKONEL,
Korogwe water works,
KOWI,
KOYI,
KTA C,
KU,
Kuamu,
Kuji foundation,
KUMKUM,
KURRP,
KUWAIT,
Kuwaiti,
KUWASA,
Kuweit,
kw,
Kwamdulu estate,
Kwasenenge Group,
KWIKWIZ,
Kyariga,
KYASHA ENTERPR,
KYASHA ENTREPR,
KYELA_MOROGORO,
L,
Laizer,
LAMP,
Laramatak,
Latifu,
Lawate fuka water su,
Lawatefuka water sup,
LC,
LDEP,
LEI,
LENCH,
Leopad Abeid,
LGA,
LGCDG,
LGQ,
Li,
Linda,
LINDALA CO,
Lindi contractor,
Lindi rural water department,
LION'S,
lion's club,
Lions club kilimanjaro,
LIPS,
LIUWASSA,
LIVI,
Living water international,
LIZAD,
Local,
Local  technician,
LOCAL CONTRACT,
local fundi,
Local l technician,
Local te,
Local technical,
Local technical tec,
Local technician,
Local technitian,
Locall technician,
Localtechnician,
Loliondo Parish,
LOLMOLOKI,
LOMOLOKI,
LONGIDO SEC SCHOOL,
LOOCIP,
Losa-kia water suppl,
Losaa-Kia water supp,
Losakia water supply,
Luali Kaima,
Luka,
LUKE SAMARAS LTD,
Luleka,
LUNGWE,
lusajo,
Luthe,
Lutheran,
lutheran church,
LUWASSA,
LVA Ltd,
LVIA,
LWI,
LWI &CENTRAL GOVERNMENT,
M,
M and P,
Ma,
Machibya,
MACK DONALD CO LTD,
MACK DONALD CONTRACTOR,
MACK DONALD CONTRSCTOR,
Mackd,
Madra,
Maendeleo ya jamii,
Maerere,
Magadini Makiwaru wa,
Magadini-Makiwaru wa,
Magani,
magige,
Magoma ADP,
Magul,
Magutu Maro,
Mahemba,
Mahita,
MAISHULE,
MAIVARU,
MAJ MUGUMU,
Maji block,
MAJI MUGUMU,
MAJI TECH,
Maji tech Construction,
Makala,
MAKAMA CONSTRUCTION,
Makanya Sisal Estate,
MAKE ENGINEERING,
Makonde,
Makonde water population,
Makonde water supply,
Makori,
Makoye,
Makundya,
Makuru,
Makusa,
Malec,
Males,
Maliasili,
malola,
Mama Agnes Kagimbo,
Mama Hamisa,
Mama joela,
Mama Kalage,
Mama Kapwapwa,
MAMAD,
Mamaz,
Mambe,
Mamlaka ya maji ngara,
Mamvua Kakungu,
MANDIA CONSTRUCTION,
MANGO TREE,
MANYARA CONSTRUCTION,
Manyota primary School,
Manyovu Agriculture Institute,
Mara inter product,
MARAFIN,
Marafip,
Marijan Ally Dadi,
Mark,
Marke,
Maro,
Martha Emanuel,
Marti,
Marumbo Community,
MASAI LAND,
Maseka community,
Masele Nzengula,
Masese,
Mashaka M,
Masjid,
Masjid Nnre,
MasjId Takuar,
MASU COMPANY,
MASWI,
MASWI CO,
Maswi company,
MASWI DRILL,
MASWI DRILLING,
Maswi drilling co ltd,
MASWI DRILLING CO. LTD,
Mataro,
Matiiti,
Matogoro,
Matyenye,
Max Mbise,
Mayiro,
MAZI INVESTMENT,
mbeje,
MBIUSA,
MBIUWASA,
MBOMA,
Mbozi District Council,
Mbozi Hospital,
Mbozi Secondary School,
MBULI CO,
MBULU DISTRICT COUNCIL,
Mbunge,
Mbusi Mwita,
MBUZI MAWE,
MBWAMBO,
Mbwiro,
mchina,
MCHOME,
Mchuk,
MD,
MDALA Contractor,
MDRD_,
MDRDP,
MECO,
Megis,
MEM,
Member of Perliament Ahmed Ali,
Meru Concrete,
METHODIST CHURCH,
Mgaya,
Mgaya Masese,
Mgaya Mwita,
MGM,
Mh Kapuya,
Mh.chiza,
Mi,
MIAB,
Mianz,
MIDA,
Milenia,
Mileniam,
Mileniam project,
Milenium,
MINISTRY OF EDUCATION,
MINISTRY OF WATER,
Ministry of water engineer,
MINISTRYOF WATER,
MINJINGU,
Miomb,
Misana george,
MISHENI,
Misri Government,
Missi,
Missio,
Mission,
Missionaries,
Missionary,
Miziriol,
Mketo,
MKON CONSTRUCTION,
MKONG CONSTRUCTION,
MKONGO BUILDING CONTRACTOR,
MKONGO CONSTRUCTION,
Mkulima,
Mkuluku,
Mkuyu,
ML appro,
MLADE,
MLAKI  CO,
MLAKI CO,
MMG GOLD MINE,
Mohamad Masanga,
Mohamed Ally,
Mombo urban  water,
Mombo urban water,
Mombo urban water s,
Monmali,
Moravian,
MORNING CONSTRUCTION,
Moroil,
Morovi,
Morovian,
Morovian church,
Morrov,
Morrovian,
MOSES,
Moshono ADP,
Mosque,
Mosqure,
Motiba Manyanya,
Moyowosi,
MP,
MP Mloka,
Mpang,
Mpango wa Mwisa,
Mr Chi,
Mr Kas,
Mr Kwi,
Mr Luo,
Mr Sau,
MREMI CONTRACTOR,
Mrish,
MS,
MSABI,
Msagin,
MSF,
MSF/TACARE,
Msig,
MSIGWA,
Msiki,
MSIKIT,
Msikiti,
Msikitini,
MSJI MUGUMU,
Msuba,
Msudi,
MSUKWA CONSTRUCTION COMPANY,
MTAMBO,
MTC,
Mtewe,
MTN,
MTUI,
MTUWASA,
MTUWASA and Community,
Mtwara Technician,
Mu,
Muham,
Muhindi,
Muhochi Kissaka,
Mungaya,
Municipal,
Municipal Council,
muniko,
Musa,
MUSLIMEHEFEN INTERNATIONAL,
Muslims,
Muslimu Society(Shia),
MUWASA,
Muwaza,
MUWSA,
Mviwa,
Mw,
Mwakabalula,
mwakalinga,
MWAKI CONTRACTO,
MWAKI CONTRACTOR,
mwakifuna,
Mwalimu  Muhenza,
Mwalimu  Muhenzi,
Mwamama,
Mwamvita Rajabu,
Mwanamisi Ally,
Mwananchi Engineeri,
Mwanga town water authority,
MWANZA,
MWE,
MWE &,
Mwigicho,
mwita,
mwita kichere,
Mwita Lucas,
Mwita Machoa,
Mwita Mahiti,
Mwita Muremi,
MWL NGASSA,
Mwl. Nyerere sec. school,
Mwl. Nyerere sec.school,
Mwl.Mwita,
MWS,
mzee mabena,
Mzee Omari,
Mzee Salum Bakari Darus,
Mzee Smith,
Mzee Waziri Tajari,
Mzee Yassin Naya,
Mzinga A,
Mzung,
Mzungu,
Mzungu Paul,
N.P.R.,
NAFCO,
Naishu construction co. ltd,
Naishu construction co.ltd,
Nampapanga,
Nampopanga,
Namungo,
Nandra Construction,
NANRA contractor,
Napupanga,
Nasan workers,
Nassan workers,
Nassor Fehed,
Nathal Hamadi,
Natio,
NCAA,
nchagwa,
Ndanda missions,
NDDP,
NDM,
NDRDP,
Nduku village,
Neemia mission,
Nerthlands,
Netherlands,
NG,
Ng'omango,
Ngelepo group,
NGINIL,
Ngiresi village community,
NGO,
NGO'S,
Nice,
Niger,
Nimrod Mkono[mb],
NIRAD,
NJOONJOO,
Njula,
NMDC INDIA,
No,
NORA,
Norad,
NORAD/,
Norani,
North,
Noshad,
Noshadi,
Not kno,
Not known,
Ns,
NSC,
NSSF,
Nu,
Nyabarongo Kegoro,
Nyabibuye Islamic center,
Nyabweta,
NYAHALE,
Nyakaho Mwita,
NYAKILANGANI,
NYAKILANGANI  CO,
NYAKILANGANI CO,
NYAKILANGANI CONSTRUCTION,
Nyakilanganyi,
Nyamasagi,
Nyamingu subvillage,
Nyamongo Gold mining,
Nyamwanji,
Nyangere,
Nyanza road,
Nyeisa,
Nyitamboka,
NZILA,
O,
O &,
Obadia,
OBC,
ODA,
OIKOS,
Oikos E .Africa,
Oikos E Africa,
Oikos E. Africa,
Oikos E.Africa,
Oikos E.Afrika,
Okong'o,
OLA,
Oldadai village community,
OLDONYOLENGAI,
Olgilai village community,
OLOMOLOKI,
OLS,
Omar Ally,
Omar Rafael,
Omari Mzee,
OMARY MONA,
Onesm,
Ongan,
Orien,
Orphanage,
Others,
Othod,
Overland High School,
Ox,
OXFAM,
OXFARM,
P,
P.N.R.,
PAD,
Padep,
Paffec,
Pankrasi,
Panone,
PART,
Paskali,
Pata,
Patrick Nyanzwi,
PATUU,
Paul,
PCI,
Pentecost church,
Pentecosta,
Pentecostal church,
Pentekoste,
People from Egypt,
People P,
Perusi Bhoke,
PET,
Pet  Corporation  Ltd,
Pet Coporation Ltd,
Pet Corporation Ltd,
peter,
Peter Mayiro,
Petro Patrice,
Phase,
PIDP,
Piscop,
PIT COOPERATION  LTD,
PIUS CHARLES,
Plan Int,
Plan Internationa,
Plan International,
Plan Tanzania,
PMO,
PNR co,
PNR Da,
Po,
Pori la akiba kigosi,
Pr,
Presadom,
PRF,
Prima,
Primo,
PRINCE MEDIUM SCHOOL,
PRIV,
Priva,
Privat,
Private,
Private company,
Private individuals,
PRIVATE INSTITUTIONS,
Private owned,
Private person,
Private Technician,
Prof. Saluati,
Pump entecostal Sweeden,
PWD,
Q-sem Ltd,
Quick win project,
Quick win project /Council,
Quick win/halmashauri,
QUICKWINS,
QUIK,
QUKWIN,
QUWKWIN,
Qwick Win,
QWICKWIN,
R,
R.C,
Railway,
Ramadhani M. Mvugalo,
Ramadhani Nyambizi,
Raramataki,
Rashid Mahongwe,
Rashid Seng'ombe,
Raurensia,
Raymond Ekura,
RC,
RC .Church,
RC C,
RC CATHORIC,
RC Ch,
RC Churc,
RC Church,
RC CHURCH BROTHER,
RC church/CEFA,
RC church/Central Gover,
RC Mi,
RC Mis,
RC mission,
RC MISSIONARY,
RC Msufi,
RC Njoro,
RC/Mission,
RCchurch/CEFA,
RDC,
RDDC,
RDWS,
RE,
Recoda,
RED CROSS,
REDAP,
Redep,
REDESO,
Regina group,
Region water,
Region water Department,
Regional Water,
REGIONAL WATER ENGINEER ARUSHA,
REGWA,
REGWA Company,
REGWA COMPANY OF EGPTY,
REGWA COMPANY OF EGYPT,
Resolute,
RESOLUTE MINING,
Rhobi,
Rhobi Wamburs,
Rhoda,
Richard M.Kyore,
RIDEP,
Rilayo water project,
Rips,
Rished,
RO,
Robert kampala,
Robert Mosi,
Roma,
Romam,
Roman,
Roman Ca,
Roman Catholic,
Roman Catholic Rulenge Diocese,
Roman Cathoric -Kilomeni,
Roman Cathoric -Same,
Roman Cathoric Same,
Roman Church,
Rombo Dalta,
Rombo delta,
Rotar,
Rotary club,
Rotary club Australia,
Rotary club kitchener,
Rotary Club of Chico and Moshi,
Rotary Club of USA and Moshi,
Rotery c,
Rotte,
Rps,
RSSP,
Ruangwa contractor,
RUDE,
RUDEP,
RUDEP/,
Rudri,
RUNDAGA,
Rundu man,
Runduman,
Rural,
Rural Drinking Water Supply,
Rural Drinkung Water Supply,
RURAL WATER SUPPLY,
Rusumo Game reserve,
Ruthe,
RUVUMA BASIN,
RW,
RWE,
RWE /Community,
RWE Community,
RWE/ Community,
RWE/Community,
RWE/DWE,
RWE/TCRS,
RWEDWE,
RWET/WESA,
RWI,
RWSP,
RWSSP,
S,
S.P.C Pre-primary School,
Sa,
Sabodo,
Sacso,
SADIKI KANGELO,
SAFARI CAMP,
Safari Roya,
Safe Rescue Ltd,
Sagaswe,
Said Hashim,
Said Omari,
SAIDI CO,
Saidi Halfani,
Sakwidi,
salamu kita,
Saleh Zaharani,
Salehe,
Salum Tambalizeni,
Samsoni,
Samwel,
Samweli,
Samweli Kitana,
Sangea District Coun,
Sanje Wa,
Sao,
SAUWASA,
Save the rain,
Save the rain USA,
SAXON,
SAXON  BUILDING CONTRACTOR,
SAXON BUILDING CONTRACTOR,
SAXON BUILDING CONTRACTORS,
Scholastica Pankrasi,
SCHOO,
SCHOOL,
School Adm9nstrarion,
School Adminstrarion,
SCOTT,
SDA,
SDA CHURCH,
SDP,
secondary,
secondary school,
Seff Mtambo,
Segera Estate,
Seif Ndago,
Sekei village community,
Sekondari,
Seleman Masoud,
SELEPTA,
Selikali,
Selous G,
SEMA,
SEMA CO LTD,
SEMA Consultant,
SENAPA,
Sengerema Water Department,
Sent Tho,
Seram,
SERENA,
Serengeti District concil,
SERENS,
Serikali,
Serikali ya kijiji,
Serikari,
SERONERA,
Sh,
Shallow well,
Shamte Said,
SHAWASA,
Shekhe,
Shelisheli commission,
Shingida yetu,
SHIP,
SHIPO,
SHIPO CONSTRUCTORS,
Shule,
Shule ya msingi,
Shule ya msingi ufala,
Shule ya sekondari Ipuli,
SHUWASA,
SHY BUILDERS,
SI,
SIA Ltd,
SIDA,
SIJM,
Simango Kihengu,
SIMAVI,
SIMBA,
SIMBA CO,
SIMBA LODGE,
Simon Lusambi,
Singasinga,
SINGIDA  YETU,
Singida General  Supplies  Ltd,
SINGIDA YETU,
SIPDO,
Sisal Estste Hale,
Sister makulata,
Siza Mayengo,
Socie,
SOLIDAME,
SOLIDARM,
SOLIDERM,
Songa,
SONGAS,
Songea District Coun,
Sophia Wazir,
SOWASA,
SPAR DRILLING,
SSU,
St,
St Elizabeth Majengo,
St Gasper,
St Magreth Church,
St ph,
STABEX,
Staford Higima,
STAMPERS,
stansilaus,
Stephano,
Stephano Paulo,
Steven Nyangarika,
SUA,
Subvillage,
SULEMAN IDD,
Sumbaw,
Summit for water/Community,
SUMO,
Sumry,
SUNAMCO,
SUWASA,
SW,
Swalehe Rajabu,
Sweeden,
Swiss If,
T,
T. N. karugendo,
TA,
Taasi,
Taboma/Community,
Tabora Municipal Council,
Tabraki,
TACRI,
Tadeo,
Taees,
Taes,
TAG,
TAG CHURCH,
TAG Patmo's,
TAHEA,
TAIPO,
Tajiri Jumbe Lila,
TAN PLANT LTD,
TANAP,
TANAPA,
TANAS,
TANCAN,
TANCRO,
